iter	RMSE
0	0.9404467931
1	0.912558310122	0.8879700227
3	0.8674297606
4	0.8497318685
5	0.8341479509
6	0.8218128552
7	0.8106845248
8	0.8007134827
9	0.7936102303
10	0.7856747949
11	0.7796825228
12	0.7743926587
13	0.7703817954
14	0.7665174382115	0.7628020923
16	0.7598137464
17	0.7569756593118	0.7546442629
19	0.7527408931
20	0.7506640213
21	0.7490088784
22	0.7474552687
23	0.7459952201
24	0.744467409
25	0.7434068014
26	0.7423429115
27	0.7412858296
28	0.7402866073
29	0.7391539569
30	0.7385519186
31	0.7377361112
32	0.736914151
33	0.7360939884
34	0.7355969056
35	0.7351266818
36	0.7345481817
37	0.7337108736
38	0.733274749
39	0.7327373888
40	0.7321781621
41	0.7317433322
42	0.731093316
43	0.7303996639
44	0.7299115665
45	0.7293427357
46	0.7290587742
47	0.728526327
48	0.7281643071
49	0.7275894529
50	0.7271843162
51	0.7267934458
52	0.7265206191
53	0.726153267
54	0.725581416
55	0.7250503622
56	0.7246679902
57	0.724321491
58	0.7239439119
59	0.7234389895
60	0.7232311102
61	0.7227831037
62	0.7224764947
63	0.7222785532
64	0.7220719756
65	0.721867179
66	0.721435612
67	0.7212432515
68	0.7210126746
69	0.7205430189
70	0.7201676995
71	0.7198181903
72	0.7193792186
73	0.7189900514
74	0.7187091605
75	0.7183942107
76	0.7180310104
77	0.7177829448
78	0.7175939477
79	0.7173895743
80	0.7171306342
81	0.7168971455
82	0.7167081817
83	0.7164008689
84	0.7161698589
85	0.7158794387
86	0.7154793585
87	0.7151229508
88	0.7148442196
89	0.7144401838
90	0.7141023072
91	0.7137062418
92	0.7135022981
93	0.7132534847
94	0.7128458777
95	0.7126826837
96	0.7123871293
97	0.7122583749
98	0.7119156652
99	0.7116716875
100	0.7114443551
101	0.7110799454
102	0.7108440389
103	0.7106097245
104	0.7103744887
105	0.7102035548
106	0.7099425961
107	0.7096219563
108	0.7093957228
109	0.7091026674
110	0.7088444459
111	0.708719797
112	0.7084960381
113	0.7083175466
114	0.7079768638
115	0.7076566807
116	0.707446316
117	0.7072385126
118	0.7070004227
119	0.7067883176
120	0.7064562029
121	0.7062147933
122	0.7060119448
123	0.7057556739
124	0.7054162302
125	0.7051270262
126	0.7049284957
127	0.7047118431
128	0.7044849982
129	0.7043541794
130	0.7039993429
131	0.7037756668
132	0.703541433
133	0.7033747481
134	0.7030384302
135	0.7027673379
136	0.7025504539
137	0.7022893809
138	0.7020427894
139	0.7018396334
140	0.7015684217
141	0.7013396547
142	0.701081725
143	0.7008386319
144	0.7006243097
145	0.7004133643
146	0.7001777106
147	0.6999765731
148	0.6997174648
149	0.6995639037
150	0.6993866657
151	0.6991545556
152	0.6989454509
153	0.6987774848
154	0.6985465044
155	0.6983428864
156	0.6981660322
157	0.698010812
158	0.6978343707
159	0.6976564367
160	0.6974001958
161	0.6971385594
162	0.6969166087
163	0.6967583282
164	0.6965474336
165	0.6962778433
166	0.6961410697
167	0.6958220993
168	0.6956359364
169	0.6955046945
170	0.6953075986
171	0.6951380966
172	0.6949298777
173	0.6947977456
174	0.6945916782
175	0.6944273631
176	0.6942446191
177	0.6941058879
178	0.6939219632
179	0.6937732747
180	0.6935459767
181	0.6932766332
182	0.6931211144
183	0.6929779209
184	0.6927225151
185	0.6925159612
186	0.6923926924
187	0.6922508401
188	0.692067254
189	0.6918727162
190	0.6917346183
191	0.6915205141
192	0.6912921944
193	0.6910491376
194	0.6908471382
195	0.6907229174
196	0.690588747
197	0.6904589859
198	0.6902540857
199	0.69008538
